,y1,y2
2000-01-31,0.0,0.0
2000-02-29,1.5528202428815003,0.7789379082994695
2000-03-31,1.5356794110641812,1.2140958061231466
2000-04-30,1.7097844605904946,0.9606695326324621
2000-05-31,0.6364336349058443,1.561014517620091
2000-06-30,1.070050564558848,1.0323963129968774
2000-07-31,0.5014449555974511,2.014110392094509
2000-08-31,1.197292299466706,1.6011813482884847
2000-09-30,1.7534190924245514,0.491775515083974
2000-10-31,1.843707487294501,0.030213007732766695
2000-11-30,2.4550188346612583,0.9227547330099046
2000-12-31,2.7944294568162533,1.3832507534182972
2001-01-31,3.0264798030476485,1.3782507029842683
2001-02-28,1.7594740916303708,1.6077094403923005
2001-03-31,1.4094952524251316,2.5738050548565754
2001-04-30,1.770071315392399,1.0865792677305497
2001-05-31,0.4642034200645949,1.2638803796228297
2001-06-30,0.8593603831937093,0.43021953251406586
2001-07-31,0.9999459337061706,2.424062468272191
2001-08-31,2.1442328641751227,0.8868196633344991
2001-09-30,1.2793835840899397,1.3671234771851224
2001-10-31,2.362876011059699,0.7407517076660404
2001-11-30,1.2271269961177211,-0.9386570091274596
2001-12-31,0.9232641318910365,-0.327057676921081
2002-01-31,1.3059932804216812,-0.7263242949569586
2002-02-28,1.2319203910315044,1.1573848401057287
2002-03-31,0.39897320865284225,1.1827339272633186
2002-04-30,1.0125696265683488,0.4652465739892051
2002-05-31,1.5214700369725238,1.567387075343796
2002-06-30,0.4070815758609894,0.5987783905860493
2002-07-31,1.7076065513804237,0.2199835532401074
2002-08-31,0.697192369362579,-0.021997704915900473
2002-09-30,0.9755966358114718,-0.32682235118260494
2002-10-31,0.8565694765653697,-0.8210811767024966
2002-11-30,1.6570933507253662,0.5943307135919087
2002-12-31,3.3221495736205555,0.3318011710497226
2003-01-31,1.8645985361201496,0.36421736642657965
2003-02-28,0.1888122735262907,2.6587026889554712
2003-03-31,0.3855882220885605,1.3274926449806987
2003-04-30,0.2380262626416601,1.4518444397269834
2003-05-31,0.8885038714813227,1.065259181291159
2003-06-30,0.09499114590442279,0.2366922926688957
2003-07-31,1.0105140137743132,-0.2905291603329666
2003-08-31,0.5957226098523548,1.5267106033060105
2003-09-30,0.8536507853247798,-1.7003743752514335
2003-10-31,2.0453029219523184,0.17901254229295466
2003-11-30,2.895352074485154,0.07679881108117415
2003-12-31,3.3591327267256843,1.3559204798330917
2004-01-31,3.696735120656775,1.8087555309055074
2004-02-29,3.635901751971761,2.0759459636467406
2004-03-31,3.1758463094814693,3.4344747875826958
